Time=1810000 | A=11 | B= 5 | Min= 5
Time=1820000 | A=11 | B= 6 | Min= 6
Time=1830000 | A=11 | B= 7 | Min= 7
Time=1840000 | A=11 | B= 8 | Min= 8
Time=1850000 | A=11 | B= 9 | Min= 9
Time=1860000 | A=11 | B=10 | Min=10
Time=1870000 | A=11 | B=11 | Min=11
Time=1880000 | A=11 | B=12 | Min=11
Time=1890000 | A=11 | B=13 | Min=11
Time=1900000 | A=11 | B=14 | Min=11
Time=1910000 | A=11 | B=15 | Min=11
Time=1920000 | A=12 | B= 0 | Min= 0
Time=1930000 | A=12 | B= 1 | Min= 1
Time=1940000 | A=12 | B= 2 | Min= 2
Time=1950000 | A=12 | B= 3 | Min= 3
Time=1960000 | A=12 | B= 4 | Min= 4
Time=1970000 | A=12 | B= 5 | Min= 5
Time=1980000 | A=12 | B= 6 | Min= 6
Time=1990000 | A=12 | B= 7 | Min= 7
Time=2000000 | A=12 | B= 8 | Min= 8
Time=2010000 | A=12 | B= 9 | Min= 9
Time=2020000 | A=12 | B=10 | Min=10
Time=2030000 | A=12 | B=11 | Min=11
Time=2040000 | A=12 | B=12 | Min=12
Time=2050000 | A=12 | B=13 | Min=12
Time=2060000 | A=12 | B=14 | Min=12
Time=2070000 | A=12 | B=15 | Min=12
Time=2080000 | A=13 | B= 0 | Min= 0
Time=2090000 | A=13 | B= 1 | Min= 1
Time=2100000 | A=13 | B= 2 | Min= 2
Time=2110000 | A=13 | B= 3 | Min= 3
Time=2120000 | A=13 | B= 4 | Min= 4
Time=2130000 | A=13 | B= 5 | Min= 5
Time=2140000 | A=13 | B= 6 | Min= 6
Time=2150000 | A=13 | B= 7 | Min= 7
Time=2160000 | A=13 | B= 8 | Min= 8
Time=2170000 | A=13 | B= 9 | Min= 9
Time=2180000 | A=13 | B=10 | Min=10
Time=2190000 | A=13 | B=11 | Min=11
Time=2200000 | A=13 | B=12 | Min=12
Time=2210000 | A=13 | B=13 | Min=13
Time=2220000 | A=13 | B=14 | Min=13
Time=2230000 | A=13 | B=15 | Min=13
Time=2240000 | A=14 | B= 0 | Min= 0
Time=2250000 | A=14 | B= 1 | Min= 1
Time=2260000 | A=14 | B= 2 | Min= 2
Time=2270000 | A=14 | B= 3 | Min= 3
Time=2280000 | A=14 | B= 4 | Min= 4
Time=2290000 | A=14 | B= 5 | Min= 5
Time=2300000 | A=14 | B= 6 | Min= 6
Time=2310000 | A=14 | B= 7 | Min= 7
Time=2320000 | A=14 | B= 8 | Min= 8
Time=2330000 | A=14 | B= 9 | Min= 9
Time=2340000 | A=14 | B=10 | Min=10
Time=2350000 | A=14 | B=11 | Min=11
Time=2360000 | A=14 | B=12 | Min=12
Time=2370000 | A=14 | B=13 | Min=13
Time=2380000 | A=14 | B=14 | Min=14
Time=2390000 | A=14 | B=15 | Min=14
Time=2400000 | A=15 | B= 0 | Min= 0
Time=2410000 | A=15 | B= 1 | Min= 1
Time=2420000 | A=15 | B= 2 | Min= 2
Time=2430000 | A=15 | B= 3 | Min= 3
Time=2440000 | A=15 | B= 4 | Min= 4
Time=2450000 | A=15 | B= 5 | Min= 5
Time=2460000 | A=15 | B= 6 | Min= 6
Time=2470000 | A=15 | B= 7 | Min= 7
Time=2480000 | A=15 | B= 8 | Min= 8
Time=2490000 | A=15 | B= 9 | Min= 9
Time=2500000 | A=15 | B=10 | Min=10
Time=2510000 | A=15 | B=11 | Min=11
Time=2520000 | A=15 | B=12 | Min=12
Time=2530000 | A=15 | B=13 | Min=13
Time=2540000 | A=15 | B=14 | Min=14
Time=2550000 | A=15 | B=15 | Min=15
Truth table verification complete.
TB_lab5.V:38: $finish called at 2560000 (1ps)
